"study","treatment","therm1","therm2","therm3","therm4"
1,"No Contact",50,48,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",92,92,NA,NA
1,"Recycling Script by Gay Canvasser",62,NA,NA,NA
1,"No Contact",52,52,NA,NA
1,"No Contact",10,10,NA,NA
1,"No Contact",17,17,NA,NA
1,"No Contact",72,72,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",44,44,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",50,58,NA,NA
1,"No Contact",50,49,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",51,48,39,54
2,"No Contact",100,NA,97,100
1,"No Contact",100,99,NA,NA
1,"No Contact",7,7,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,NA
1,"Recycling Script by Gay Canvasser",1,1,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",13,20,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",80,73,95,66
1,"No Contact",98,98,NA,NA
1,"No Contact",82,82,NA,NA
2,"No Contact",100,100,NA,100
1,"Same-Sex Marriage Script by Straight Canvasser",51,49,NA,NA
1,"No Contact",73,73,NA,NA
1,"Recycling Script by Straight Canvasser",84,84,NA,NA
1,"No Contact",86,86,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"No Contact",50,57,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",31,29,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",76,NA,NA,NA
1,"No Contact",74,74,NA,NA
2,"No Contact",97,94,96,100
1,"No Contact",70,70,NA,NA
1,"Recycling Script by Gay Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",89,86,NA,NA
1,"No Contact",46,46,NA,NA
1,"No Contact",100,94,NA,NA
2,"No Contact",85,86,89,77
1,"Same-Sex Marriage Script by Straight Canvasser",94,94,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",77,NA,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",97,97,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",50,55,NA,NA
1,"No Contact",50,58,NA,NA
1,"Recycling Script by Gay Canvasser",50,50,NA,NA
1,"Recycling Script by Gay Canvasser",31,31,NA,NA
1,"Recycling Script by Gay Canvasser",70,70,NA,NA
1,"No Contact",50,44,NA,NA
1,"No Contact",66,66,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",4,4,NA,NA
1,"Recycling Script by Straight Canvasser",100,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",60,NA,NA,NA
1,"No Contact",97,97,NA,NA
1,"No Contact",90,90,NA,NA
1,"Recycling Script by Gay Canvasser",99,NA,NA,NA
1,"Recycling Script by Straight Canvasser",3,7,NA,NA
2,"No Contact",1,1,0,2
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Gay Canvasser",98,NA,NA,NA
2,"No Contact",50,48,46,55
1,"Same-Sex Marriage Script by Gay Canvasser",50,62,NA,NA
2,"No Contact",50,NA,54,56
1,"Same-Sex Marriage Script by Straight Canvasser",83,84,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,55,NA,NA
1,"Recycling Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",50,45,NA,NA
1,"Recycling Script by Gay Canvasser",86,86,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",89,89,NA,NA
1,"No Contact",50,53,NA,NA
1,"Recycling Script by Gay Canvasser",80,80,NA,NA
1,"Recycling Script by Gay Canvasser",83,83,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,46,NA,NA
1,"No Contact",5,5,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,55,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,50,NA,NA
2,"No Contact",24,22,6,10
2,"Same-Sex Marriage Script by Gay Canvasser",22,19,17,23
1,"Same-Sex Marriage Script by Straight Canvasser",55,66,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",50,51,NA,NA
1,"No Contact",82,82,NA,NA
1,"No Contact",83,83,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",95,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",52,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",86,79,100,88
1,"Same-Sex Marriage Script by Gay Canvasser",21,29,NA,NA
1,"No Contact",47,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,52,47,60
1,"Same-Sex Marriage Script by Straight Canvasser",31,31,NA,NA
1,"No Contact",17,17,NA,NA
1,"Recycling Script by Straight Canvasser",99,99,NA,NA
1,"No Contact",50,45,NA,NA
1,"No Contact",50,51,NA,NA
1,"Recycling Script by Gay Canvasser",71,71,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",75,90,NA,NA
1,"No Contact",100,95,NA,NA
1,"No Contact",88,88,NA,NA
1,"No Contact",6,6,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",99,100,NA,95
1,"Recycling Script by Gay Canvasser",71,71,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,96,100,100
1,"No Contact",48,48,NA,NA
2,"No Contact",87,77,58,97
1,"Recycling Script by Gay Canvasser",58,58,NA,NA
1,"No Contact",85,85,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",7,7,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",15,15,NA,NA
1,"No Contact",50,56,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",99,99,NA,NA
1,"No Contact",21,21,NA,NA
1,"Recycling Script by Straight Canvasser",94,94,NA,NA
1,"No Contact",56,56,NA,NA
2,"No Contact",50,52,45,44
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",31,31,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",55,55,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",25,11,24,28
1,"No Contact",82,82,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",12,12,NA,NA
1,"No Contact",27,27,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",52,52,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",87,NA,NA,NA
1,"No Contact",10,NA,NA,NA
1,"No Contact",50,54,NA,NA
1,"No Contact",54,54,NA,NA
1,"No Contact",6,6,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",43,43,NA,NA
1,"Recycling Script by Gay Canvasser",60,60,NA,NA
1,"No Contact",11,11,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",77,77,NA,NA
1,"Recycling Script by Straight Canvasser",31,29,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",78,NA,87,85
1,"Same-Sex Marriage Script by Straight Canvasser",96,NA,NA,NA
2,"No Contact",66,82,73,72
1,"No Contact",60,60,NA,NA
1,"No Contact",100,96,NA,NA
1,"Recycling Script by Gay Canvasser",50,45,NA,NA
2,"No Contact",27,NA,19,NA
1,"Recycling Script by Gay Canvasser",70,75,NA,NA
2,"No Contact",63,NA,NA,NA
2,"No Contact",50,50,NA,58
1,"Same-Sex Marriage Script by Gay Canvasser",88,98,NA,NA
1,"Recycling Script by Straight Canvasser",94,94,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Recycling Script by Straight Canvasser",6,6,NA,NA
1,"No Contact",55,55,NA,NA
1,"Recycling Script by Gay Canvasser",88,88,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",52,52,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",100,NA,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,50,57,41
1,"No Contact",63,63,NA,NA
1,"Recycling Script by Gay Canvasser",11,NA,NA,NA
1,"Recycling Script by Gay Canvasser",50,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",71,71,NA,NA
2,"No Contact",1,0,6,NA
1,"Recycling Script by Gay Canvasser",93,93,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",50,60,NA,NA
1,"No Contact",50,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",43,43,NA,NA
1,"No Contact",60,60,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",41,30,NA,59
2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,100,100
1,"No Contact",99,99,NA,NA
1,"No Contact",63,63,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,49,NA,NA
2,"No Contact",65,NA,59,59
1,"Same-Sex Marriage Script by Straight Canvasser",91,91,NA,NA
1,"No Contact",89,89,NA,NA
1,"No Contact",68,68,NA,NA
2,"No Contact",51,42,48,NA
1,"Recycling Script by Straight Canvasser",73,73,NA,NA
1,"Recycling Script by Straight Canvasser",52,52,NA,NA
1,"Recycling Script by Straight Canvasser",44,44,NA,NA
2,"No Contact",67,76,NA,68
1,"No Contact",86,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",57,57,NA,NA
1,"Recycling Script by Gay Canvasser",41,41,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",51,56,43,56
1,"No Contact",98,98,NA,NA
1,"No Contact",41,41,NA,NA
1,"Recycling Script by Straight Canvasser",50,NA,NA,NA
1,"No Contact",1,1,NA,NA
1,"No Contact",100,97,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",50,47,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",100,99,95,100
2,"Same-Sex Marriage Script by Gay Canvasser",61,54,57,75
1,"No Contact",96,96,NA,NA
1,"No Contact",50,41,NA,NA
1,"No Contact",48,48,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",48,48,NA,NA
1,"No Contact",100,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",75,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,51,NA,NA
1,"Recycling Script by Straight Canvasser",50,43,NA,NA
1,"No Contact",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",21,22,NA,NA
1,"Recycling Script by Gay Canvasser",6,6,NA,NA
1,"No Contact",75,75,NA,NA
2,"No Contact",4,8,0,6
1,"No Contact",87,87,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",1,1,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
1,"No Contact",70,70,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",0,0,NA,NA
1,"Recycling Script by Straight Canvasser",2,2,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",41,41,NA,NA
2,"No Contact",50,NA,NA,48
1,"No Contact",50,51,NA,NA
1,"No Contact",50,46,NA,NA
1,"No Contact",72,72,NA,NA
1,"No Contact",26,26,NA,NA
1,"No Contact",50,55,NA,NA
2,"No Contact",60,68,58,57
2,"Same-Sex Marriage Script by Gay Canvasser",50,65,62,65
2,"Same-Sex Marriage Script by Gay Canvasser",90,100,100,84
1,"Recycling Script by Straight Canvasser",50,50,NA,NA
1,"No Contact",87,NA,NA,NA
1,"Recycling Script by Straight Canvasser",51,46,NA,NA
1,"No Contact",50,47,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",46,46,NA,NA
1,"Recycling Script by Straight Canvasser",97,97,NA,NA
1,"No Contact",100,97,NA,NA
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
1,"No Contact",100,NA,NA,NA
1,"No Contact",72,72,NA,NA
1,"No Contact",100,100,NA,NA
2,"No Contact",100,98,97,NA
1,"No Contact",33,33,NA,NA
1,"Recycling Script by Straight Canvasser",22,NA,NA,NA
1,"Recycling Script by Gay Canvasser",31,31,NA,NA
2,"No Contact",50,50,48,50
1,"No Contact",59,59,NA,NA
2,"No Contact",62,67,59,46
1,"No Contact",61,61,NA,NA
1,"No Contact",100,95,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",86,86,NA,NA
1,"No Contact",92,92,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"No Contact",99,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",41,41,NA,NA
1,"No Contact",2,2,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
1,"No Contact",50,52,NA,NA
1,"Recycling Script by Straight Canvasser",51,52,NA,NA
1,"Recycling Script by Straight Canvasser",50,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,50,NA,NA
1,"Recycling Script by Gay Canvasser",84,84,NA,NA
1,"Recycling Script by Gay Canvasser",62,62,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",63,63,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,56,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",61,61,NA,NA
1,"Recycling Script by Gay Canvasser",75,81,NA,NA
1,"No Contact",41,41,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,99,NA,NA
1,"Recycling Script by Straight Canvasser",100,NA,NA,NA
1,"No Contact",77,77,NA,NA
1,"No Contact",50,53,NA,NA
1,"Recycling Script by Straight Canvasser",91,94,NA,NA
1,"No Contact",74,74,NA,NA
1,"No Contact",53,53,NA,NA
2,"No Contact",61,63,59,51
1,"Same-Sex Marriage Script by Gay Canvasser",75,NA,NA,NA
1,"Recycling Script by Straight Canvasser",81,81,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",30,30,NA,NA
1,"No Contact",92,92,NA,NA
1,"No Contact",43,43,NA,NA
1,"No Contact",87,87,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",34,34,NA,NA
1,"No Contact",31,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",2,2,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",86,84,NA,NA
1,"No Contact",50,56,NA,NA
1,"No Contact",91,91,NA,NA
1,"No Contact",3,3,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",60,68,58,67
1,"Recycling Script by Gay Canvasser",68,68,NA,NA
1,"Recycling Script by Straight Canvasser",75,75,NA,NA
1,"Recycling Script by Gay Canvasser",82,NA,NA,NA
1,"Recycling Script by Gay Canvasser",55,49,NA,NA
1,"No Contact",50,50,NA,NA
1,"Recycling Script by Straight Canvasser",50,48,NA,NA
2,"No Contact",3,6,0,0
1,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",90,86,NA,96
1,"No Contact",50,46,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",44,NA,57,42
1,"Recycling Script by Gay Canvasser",3,3,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",98,95,100,99
1,"No Contact",30,30,NA,NA
1,"No Contact",70,70,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",9,25,14,10
2,"No Contact",94,95,98,100
1,"No Contact",100,96,NA,NA
2,"No Contact",50,NA,52,50
1,"Recycling Script by Gay Canvasser",55,55,NA,NA
1,"Recycling Script by Straight Canvasser",84,84,NA,NA
1,"No Contact",32,32,NA,NA
2,"No Contact",50,NA,56,49
1,"No Contact",10,10,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",30,30,NA,NA
2,"No Contact",50,55,50,51
2,"Same-Sex Marriage Script by Gay Canvasser",60,77,71,71
2,"No Contact",2,8,0,14
1,"No Contact",100,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",95,99,92,79
2,"No Contact",99,100,100,100
1,"Same-Sex Marriage Script by Straight Canvasser",50,53,NA,NA
1,"No Contact",100,98,NA,NA
1,"No Contact",55,55,NA,NA
1,"Recycling Script by Straight Canvasser",99,99,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",31,30,28,39
1,"No Contact",86,86,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
2,"No Contact",76,69,NA,71
1,"No Contact",63,63,NA,NA
1,"No Contact",6,6,NA,NA
1,"No Contact",21,21,NA,NA
1,"No Contact",34,34,NA,NA
1,"No Contact",100,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",12,12,NA,NA
1,"No Contact",15,15,NA,NA
1,"No Contact",78,78,NA,NA
1,"Recycling Script by Gay Canvasser",100,NA,NA,NA
1,"No Contact",94,94,NA,NA
1,"No Contact",43,43,NA,NA
2,"No Contact",100,100,100,92
2,"Same-Sex Marriage Script by Gay Canvasser",13,11,15,29
2,"Same-Sex Marriage Script by Gay Canvasser",69,62,71,64
1,"No Contact",67,67,NA,NA
2,"No Contact",94,100,NA,82
1,"No Contact",50,47,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",3,0,10,11
1,"No Contact",68,68,NA,NA
1,"No Contact",41,41,NA,NA
1,"No Contact",100,98,NA,NA
2,"No Contact",50,51,45,61
1,"No Contact",10,10,NA,NA
1,"No Contact",59,59,NA,NA
1,"Recycling Script by Gay Canvasser",95,97,NA,NA
1,"No Contact",75,75,NA,NA
1,"Recycling Script by Straight Canvasser",74,74,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",100,99,NA,NA
1,"No Contact",93,93,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",91,91,NA,NA
1,"No Contact",50,55,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",17,17,NA,NA
1,"Recycling Script by Gay Canvasser",71,71,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,48,NA,57
1,"Same-Sex Marriage Script by Gay Canvasser",12,12,NA,NA
1,"No Contact",75,75,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,68,NA,78
1,"Recycling Script by Gay Canvasser",88,88,NA,NA
1,"No Contact",63,63,NA,NA
1,"No Contact",70,70,NA,NA
1,"No Contact",50,52,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Recycling Script by Straight Canvasser",97,97,NA,NA
1,"No Contact",100,100,NA,NA
1,"No Contact",54,54,NA,NA
1,"No Contact",96,96,NA,NA
1,"Recycling Script by Gay Canvasser",50,50,NA,NA
1,"No Contact",100,94,NA,NA
1,"Recycling Script by Straight Canvasser",53,53,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",15,19,2,0
1,"No Contact",100,NA,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",33,33,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",80,80,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",81,81,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",50,49,NA,NA
1,"Recycling Script by Straight Canvasser",41,41,NA,NA
1,"Recycling Script by Gay Canvasser",71,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,99,NA,100
1,"No Contact",100,94,NA,NA
1,"No Contact",75,75,NA,NA
1,"No Contact",45,45,NA,NA
1,"Recycling Script by Straight Canvasser",50,51,NA,NA
1,"No Contact",66,66,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",75,75,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
2,"No Contact",41,41,52,32
2,"No Contact",50,NA,49,49
1,"No Contact",99,99,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",75,NA,89,89
2,"Same-Sex Marriage Script by Gay Canvasser",53,63,71,56
1,"No Contact",75,75,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,49,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",31,31,NA,NA
1,"No Contact",93,93,NA,NA
1,"No Contact",51,51,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",61,61,NA,NA
1,"Recycling Script by Straight Canvasser",79,79,NA,NA
1,"No Contact",45,45,NA,NA
1,"No Contact",75,75,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",62,62,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",60,75,50,NA
1,"Same-Sex Marriage Script by Straight Canvasser",80,82,NA,NA
1,"No Contact",44,NA,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",57,45,59,70
2,"Same-Sex Marriage Script by Gay Canvasser",48,46,45,32
1,"No Contact",50,50,NA,NA
1,"Recycling Script by Gay Canvasser",100,NA,NA,NA
1,"No Contact",3,3,NA,NA
1,"No Contact",50,48,NA,NA
1,"Recycling Script by Straight Canvasser",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",81,NA,NA,NA
1,"No Contact",100,99,NA,NA
1,"No Contact",62,62,NA,NA
2,"No Contact",100,99,96,96
1,"No Contact",3,3,NA,NA
1,"No Contact",75,75,NA,NA
1,"No Contact",96,NA,NA,NA
1,"No Contact",51,51,NA,NA
1,"No Contact",51,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",50,50,NA,NA
2,"No Contact",50,55,47,48
2,"No Contact",52,73,56,50
1,"No Contact",4,4,NA,NA
1,"Recycling Script by Gay Canvasser",55,55,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",100,100,92,NA
1,"Recycling Script by Straight Canvasser",20,17,NA,NA
1,"No Contact",22,22,NA,NA
1,"No Contact",100,100,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",50,41,64,44
1,"No Contact",100,98,NA,NA
1,"No Contact",67,67,NA,NA
1,"No Contact",89,89,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",52,52,59,NA
2,"Same-Sex Marriage Script by Gay Canvasser",3,NA,0,9
1,"No Contact",49,NA,NA,NA
1,"Recycling Script by Straight Canvasser",65,NA,NA,NA
1,"No Contact",50,52,NA,NA
1,"No Contact",86,NA,NA,NA
1,"No Contact",50,55,NA,NA
2,"No Contact",34,38,24,31
1,"Recycling Script by Straight Canvasser",72,72,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",90,90,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",96,93,100,NA
2,"Same-Sex Marriage Script by Gay Canvasser",23,18,15,30
1,"Recycling Script by Straight Canvasser",100,99,NA,NA
1,"No Contact",50,50,NA,NA
1,"No Contact",47,47,NA,NA
1,"No Contact",50,53,NA,NA
1,"No Contact",4,4,NA,NA
1,"No Contact",50,51,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",61,48,68,63
2,"No Contact",3,1,0,18
1,"Same-Sex Marriage Script by Straight Canvasser",78,78,NA,NA
1,"No Contact",50,49,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",95,95,NA,NA
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",100,99,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",41,59,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",3,17,NA,45
1,"Recycling Script by Straight Canvasser",69,69,NA,NA
2,"No Contact",51,41,49,53
1,"No Contact",41,41,NA,NA
1,"No Contact",29,29,NA,NA
1,"No Contact",11,11,NA,NA
1,"No Contact",5,5,NA,NA
2,"No Contact",80,72,75,NA
1,"No Contact",97,97,NA,NA
1,"Recycling Script by Gay Canvasser",52,52,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",98,98,100,100
2,"No Contact",97,100,NA,100
2,"No Contact",30,43,36,20
1,"Same-Sex Marriage Script by Straight Canvasser",1,1,NA,NA
1,"No Contact",52,52,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",6,6,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",75,70,68,92
1,"No Contact",100,100,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",51,51,NA,NA
1,"No Contact",100,100,NA,NA
1,"Recycling Script by Gay Canvasser",88,88,NA,NA
1,"No Contact",50,53,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",67,67,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",95,100,100,98
1,"No Contact",1,1,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",88,88,94,92
1,"Recycling Script by Straight Canvasser",40,40,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",24,22,26,NA
1,"Same-Sex Marriage Script by Straight Canvasser",85,85,NA,NA
1,"No Contact",54,54,NA,NA
1,"No Contact",62,NA,NA,NA
1,"No Contact",61,NA,NA,NA
1,"No Contact",87,87,NA,NA
1,"No Contact",89,89,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",51,51,NA,NA
1,"No Contact",50,48,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",87,87,NA,NA
2,"No Contact",50,NA,52,48
1,"No Contact",53,53,NA,NA
1,"No Contact",75,NA,NA,NA
1,"Recycling Script by Straight Canvasser",62,62,NA,NA
1,"No Contact",42,42,NA,NA
1,"No Contact",95,95,NA,NA
1,"No Contact",60,60,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",8,12,0,11
1,"No Contact",100,97,NA,NA
1,"Same-Sex Marriage Script by Gay Canvasser",50,67,NA,NA
2,"Same-Sex Marriage Script by Gay Canvasser",62,78,78,78
1,"No Contact",100,98,NA,NA
1,"No Contact",9,9,NA,NA
1,"No Contact",53,53,NA,NA
1,"No Contact",50,NA,NA,NA
1,"No Contact",86,NA,NA,NA
1,"Same-Sex Marriage Script by Straight Canvasser",75,75,NA,NA
1,"No Contact",20,20,NA,NA
1,"No Contact",11,11,NA,NA
1,"Recycling Script by Gay Canvasser",100,100,NA,NA
